name,training_time,size,execution_time,10-off_precision,15-off_precision,20-off_precision
ir_beta_29,0.004296758000009504,29392,7.281800003511307e-05,1.0,1.0,1.0
mvr_beta_29,0.01870457600000464,352,0.00016206999998757965,1.0,1.0,1.0
lr_beta_3,0.10469510699999772,96,3.6913999963417155e-05,0.0006450852567005129,0.0012157375991663515,0.0020282969128948823
spline_beta_3,0.4154158889999735,10964808,0.0001865959999918232,1.0,1.0,1.0
nnr_beta_3,20.835445850999974,1938280,0.0008300730000314616,1.0,1.0,1.0
ir_beta_3,0.5428311730000246,7742176,0.00011023799999065886,1.0,1.0,1.0
mvr_beta_3,2.2521620960000064,376,0.00018583700000363024,0.09100044039474256,0.13742176790576793,0.18789968924258307
lr_beta_30,0.004212309999957142,96,3.185700001040459e-05,0.9319371727748691,0.9712041884816754,0.981675392670157
spline_beta_30,0.001081647999967572,27888,3.615600002149222e-05,1.0,1.0,1.0
nnr_beta_30,0.0003613080000377522,8232,0.0006750820000434032,1.0,1.0,1.0
ir_beta_30,0.0037657949999925218,22000,7.888600003980173e-05,1.0,1.0,1.0
mvr_beta_30,0.018752867999978662,384,0.00018153900003881063,1.0,1.0,1.0
lr_beta_31,0.0045951089999789465,96,3.05940000089322e-05,0.478,0.734,0.874
spline_beta_31,0.0013253860000190796,35912,3.767399999787813e-05,1.0,1.0,1.0
nnr_beta_31,0.0004907620000267343,9648,0.0006697730000269075,1.0,1.0,1.0
ir_beta_31,0.004032793000021685,27664,7.332299998097369e-05,1.0,1.0,1.0
mvr_beta_31,0.016835332000027847,352,0.00016105800000332238,0.998,1.0,1.0
lr_beta_32,0.004406996000000163,96,3.084600001557192e-05,0.5969162995594713,0.8700440528634361,0.947136563876652
spline_beta_32,0.0012874599999577185,32784,3.918999999541484e-05,1.0,1.0,1.0
nnr_beta_32,0.0004270459999702325,9096,0.000723880000009558,1.0,1.0,1.0
ir_beta_32,0.00407350000000406,25456,7.4839999967935e-05,1.0,1.0,1.0
mvr_beta_32,0.01996776300001102,400,0.00019772100000636783,1.0,1.0,1.0
lr_beta_33,0.004605222999998659,96,3.160500000376487e-05,0.940983606557377,0.9672131147540983,0.9770491803278688
spline_beta_33,0.0010502970000061396,22656,3.5397000033299264e-05,1.0,1.0,1.0
nnr_beta_33,0.0003266690000032213,7312,0.0006740700000023025,1.0,1.0,1.0
ir_beta_33,0.003949103999957515,18304,7.155399998737266e-05,1.0,1.0,1.0
mvr_beta_33,0.01837765400000535,376,0.00017749400001321192,1.0,1.0,1.0
lr_beta_34,0.004629495000017414,96,3.1099000011636235e-05,0.47767857142857145,0.8303571428571429,0.9330357142857143
spline_beta_34,0.0012935280000192506,32376,3.742100000181381e-05,1.0,1.0,1.0
nnr_beta_34,0.00040808299996797365,9024,0.0006776110000146218,1.0,1.0,1.0
ir_beta_34,0.004314710000016929,25168,7.45880000181387e-05,1.0,1.0,1.0
mvr_beta_34,0.02048077500001,408,0.00019266399999651185,1.0,1.0,1.0
lr_beta_35,0.0048322729999767935,96,3.3879999989494536e-05,0.27225130890052357,0.5462478184991274,0.8045375218150087
spline_beta_35,0.001496051999993142,40880,4.424700000527082e-05,1.0,1.0,1.0
nnr_beta_35,0.0005807719999779692,10528,0.0006844380000075034,1.0,1.0,1.0
ir_beta_35,0.004708633999996437,31168,7.534599996006364e-05,1.0,1.0,1.0
mvr_beta_35,0.018026460000044157,352,0.00018179200003487495,1.0,1.0,1.0
lr_beta_36,0.004856797999991613,96,3.185799999982919e-05,0.4691119691119691,0.8706563706563707,0.9382239382239382
spline_beta_36,0.0015628020000235665,37136,3.6662000013620855e-05,1.0,1.0,1.0
nnr_beta_36,0.0004826709999861123,9864,0.0007099739999603116,1.0,1.0,1.0
ir_beta_36,0.004119011999989652,28528,8.495399998764697e-05,1.0,1.0,1.0
mvr_beta_36,0.017703077000021494,320,0.0001534730000116724,1.0,1.0,1.0
lr_beta_37,0.004485376999980417,96,3.135299999712515e-05,0.8539325842696629,0.9466292134831461,0.9634831460674157
spline_beta_37,0.0010356309999792757,26120,3.640899996071312e-05,1.0,1.0,1.0
nnr_beta_37,0.0003908909999950083,7920,0.0006819089999794414,1.0,1.0,1.0
ir_beta_37,0.0037713570000050814,20752,7.307100003117739e-05,1.0,1.0,1.0
mvr_beta_37,0.017784491999975668,384,0.0001759769999694072,1.0,1.0,1.0
lr_beta_38,0.0043673000000126186,96,3.3881000035762554e-05,0.8097826086956522,0.9103260869565217,0.967391304347826
spline_beta_38,0.0010647080000012463,26936,3.615600002149222e-05,1.0,1.0,1.0
nnr_beta_38,0.00039038400001345513,8064,0.0007997320000185937,1.0,1.0,1.0
ir_beta_38,0.003841647000001558,21328,7.433499996523096e-05,1.0,1.0,1.0
mvr_beta_38,0.01935892500000591,408,0.0001934219999952802,1.0,1.0,1.0
lr_beta_39,0.004510154000001876,96,3.1352000007700553e-05,0.593167701863354,0.9347826086956522,0.968944099378882
spline_beta_39,0.0010717879999901925,23808,3.489199997375181e-05,1.0,1.0,1.0
nnr_beta_39,0.00033627699997396116,7512,0.0006717949999597295,1.0,1.0,1.0
ir_beta_39,0.0038980290000267814,19120,7.408199996916665e-05,1.0,1.0,1.0
mvr_beta_39,0.016640644999995402,320,0.00014765800000304807,1.0,1.0,1.0
lr_beta_4,0.1103367200000207,96,3.59030000254279e-05,0.0011844552098262404,0.001877361507574591,0.0026887133263055656
spline_beta_4,0.45123670200001703,11483984,0.00021289099998966776,1.0,1.0,1.0
nnr_beta_4,22.819826679000016,2029896,0.0007658520000290991,1.0,1.0,1.0
ir_beta_4,0.5809179350000022,8108656,0.00011150199998155585,1.0,1.0,1.0
mvr_beta_4,2.353271176000021,384,0.00019013600001471787,0.1987042060004501,0.2913878261693534,0.3838108661920949
lr_beta_40,0.004528612000001432,96,3.05940000089322e-05,0.790273556231003,0.9483282674772037,0.9696048632218845
spline_beta_40,0.0012085739999747602,24288,3.716800000574949e-05,1.0,1.0,1.0
nnr_beta_40,0.0003446200000212229,7600,0.0006879769999841301,1.0,1.0,1.0
